                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                0.72414,                0.96731,                0.40832,                0.89664,                0.98395,                0.98059,                 0.9905,                0.82215,                0.97665,                0.97331,                0.98628,                0.63059,                0.75826,                 1.0342,                0.37319,                0.92705,             0.00046625,             0.00046625,             0.00046625
                     97,                0.73925,                0.98038,                 0.4145,                0.89912,                0.97804,                0.98156,                0.98731,                0.81446,                0.98012,                0.98364,                0.98648,                0.62744,                0.76796,                0.99839,                0.37469,                0.93359,               0.000458,               0.000458,               0.000458
                     98,                0.73315,                0.96322,                  0.409,                0.90123,                0.98698,                0.98617,                0.99008,                 0.8225,                0.98651,                0.98306,                0.98604,                 0.6234,                 0.7633,                 1.0311,                0.37572,                0.92589,             0.00044975,             0.00044975,             0.00044975
                     99,                0.72072,                0.96266,                0.39848,                0.89435,                0.98863,                0.98588,                0.99037,                0.81014,                0.97894,                 0.9726,                0.98243,                0.60727,                0.76771,                 1.0421,                0.37698,                0.93152,              0.0004415,              0.0004415,              0.0004415
                    100,                0.72755,                0.95031,                0.40072,                 0.8958,                0.98797,                0.97887,                0.99171,                0.81049,                0.98532,                0.97212,                0.98688,                 0.6235,                0.75407,                 1.0173,                0.37333,                0.92813,             0.00043325,             0.00043325,             0.00043325
                    101,                0.71582,                0.95859,                0.40016,                  0.889,                0.98433,                0.97732,                0.99086,                0.82345,                 0.9857,                0.97035,                0.98616,                0.63686,                0.73269,                 1.0071,                0.36552,                0.92247,               0.000425,               0.000425,               0.000425
                    102,                 0.7096,                0.97828,                0.39652,                0.88993,                0.98091,                0.97249,                0.98807,                0.81548,                0.98213,                0.97828,                0.98537,                 0.6545,                0.74828,                0.99495,                0.36886,                 0.9316,             0.00041675,             0.00041675,             0.00041675
                    103,                0.72491,                0.97229,                0.40209,                0.89356,                0.98399,                 0.9785,                0.98949,                0.80769,                0.97831,                0.96172,                0.98123,                0.60257,                0.78047,                 1.0742,                0.37424,                0.93595,              0.0004085,              0.0004085,              0.0004085
                    104,                0.70978,                0.94941,                0.39417,                0.89155,                0.98541,                0.97981,                0.99005,                 0.8199,                0.98217,                0.97371,                0.98506,                0.62839,                0.74542,                0.99011,                0.37285,                0.92629,             0.00040025,             0.00040025,             0.00040025
                    105,                0.72072,                0.94391,                0.39628,                0.89071,                0.98466,                0.98523,                0.99001,                0.80907,                0.98144,                0.97722,                0.98504,                0.60677,                0.76155,                 1.0384,                0.36774,                0.92712,               0.000392,               0.000392,               0.000392
                    106,                0.71702,                0.95409,                0.39676,                0.89312,                0.98684,                 0.9876,                0.99249,                0.82467,                 0.9785,                0.97788,                 0.9812,                 0.6298,                0.73789,                 0.9999,                0.35361,                0.92198,             0.00038375,             0.00038375,             0.00038375
